name,2011,2012,2013,2014,2015,2016,2017,2018,2019
Shanghai,31.7,32.53,33.62,35.304,36.537,37.133,40.233,42.01,43.303
Singapore,29.94,31.65,32.24,33.869,30.922,30.904,33.667,36.599,37.196
Ningbo,14.69,15.67,17.35,19.43,20.62,21.56,24.607,26.351,27.53
Shenzhen,22.57,22.94,23.28,24.037,24.204,23.979,25.209,25.74,25.77
Guangzhou,14.4,14.74,15.31,16.626,17.625,18.858,20.37,21.922,23.236
Busan,16.18,17.05,17.69,18.683,19.469,19.456,20.493,21.663,21.992
Qingdao,13.02,14.5,15.52,16.624,17.51,18.01,18.262,19.315,21.01
Hong Kong,24.38,23.12,22.35,22.283,20.114,19.813,20.77,19.596,18.361
Tianjin,11.5,12.3,13.01,14.05,14.1,14.49,15.04,15.972,17.264
Rotterdam,11.88,11.87,11.62,12.297,12.235,12.385,13.734,14.513,14.811
Dubai,13,13.27,13.64,15.249,15.592,14.772,15.368,15.954,14.111
Klang,9.6,10,10.35,10.946,11.89,13.17,11.978,12.136,13.581
Antwerp,8.66,8.64,8.58,8.978,9.654,10.037,10.451,11.1,11.86
Xiamen,6.46,7.2,8.01,8.572,9.183,9.614,10.38,10.702,11.122
Kaohsiung,9.64,9.78,9.94,10.593,10.264,10.465,10.271,10.446,10.429
Los Angeles,7.94,8.08,7.87,8.34,8.16,8.857,9.343,9.459,9.338
Hamburg,9.02,8.86,9.3,9.729,8.821,8.91,8.86,8.73,9.274
Tanjung Pelepas,7.5,7.7,7.63,8.524,9.12,8.281,8.261,8.961,9.1
Dalian,6.4,8.06,10.86,9.45,9.45,9.614,9.707,9.77,8.76
Laem Chabang,5.73,5.83,6.03,6.583,6.78,7.227,7.67,8.07,8.107
Long Beach,6.06,6.05,6.73,6.821,7.192,6.775,7.545,8.091,7.632
Tanjung Priok,5.62,6.2,6.59,5.9,5.201,5.515,6.09,7.8,7.6
New York,5.5,5.53,5.47,5.772,6.372,6.252,6.711,7.18,7.471
Colombo,4.26,4.18,4.31,4.908,5.185,5.735,6.209,7,7.228
Ho Chi Minh City,4.67,5.06,5.54,5.369,5.788,5.987,6.156,6.586,7.22
Piraeus,1.68,2.75,3.16,3.585,3.33,3.737,4.145,4.908,5.648
Yingkou,4.03,4.85,5.3,5.611,5.922,6.086,6.278,6.487,5.48
Valencia,4.33,4.47,4.33,4.442,4.615,4.722,4.832,5.128,5.44
Manila,3.25,3.71,3.77,3.81,3.976,4.523,4.782,5.085,5.316
Taicang,3.06,4.01,3.27,3.101,3.76,4.081,4.514,5.071,5.152
Hai Phong,,,,,,,,4.954,5.133
Algeciras,3.6,4.11,4.5,4.556,4.516,4.761,4.39,4.773,5.125
Jawaharlal Nehru,4.22,4.26,4.16,4.45,4.48,4.518,4.833,5.133,5.101
Bremerhaven,5.92,6.12,5.83,5.8,5.3,5.535,5.51,5.45,4.857
Tanger Med,2.07,1.9,2.56,3.08,2.964,2.964,3.312,3.472,4.802
Lianyungang,4.85,5.02,5.49,5.005,5.009,4.703,4.711,4.745,4.78
Mundra,1.34,1.52,2.39,2.72,2.895,3.32,4.24,4.419,4.733
Savannah,2.94,2.97,3.03,3.346,3.737,3.645,4.046,4.351,4.599
Tokyo,4.64,4.75,4.86,4.895,4.629,4.7,4.5,4.57,4.51
Rizhao,,,2.03,2.42,2.81,3.01,3.238,4.04,4.5
Jeddah,4.01,4.74,4.56,4.128,4.188,3.957,4.15,4.117,4.434
Colon,,,3.36,3.287,3.577,3.258,3.891,4.324,4.379
Santos,2.99,3.17,3.45,3.685,3.78,3.394,3.854,4.122,4.165
Salalah,3.2,3.62,3.34,3.034,2.569,3.325,3.946,3.385,4.109
Tanjung Perak,2.64,2.85,3,3.106,3.121,3.355,3.553,3.866,3.9
Port Said,4.27,3.63,4.1,3.959,3.85,3.036,2.969,3.05,3.816
Seaport Alliance,2.03,,,3.394,3.529,3.616,3.665,3.798,3.775
Cai Mep,,,,,,,3.065,3.567,3.742
Dongguan,,,1.5,2.892,3.363,3.64,3.91,3.5,3.68
Felixstowe,3.52,3.7,3.74,4.1,3.98,4,3.85,3.93,3.584
Fuzhou,1.45,1.83,1.98,1.939,2.119,2.65,3.007,3.4,3.54
Vancouver,2.55,2.71,2.83,2.913,3.054,2.93,3.252,3.396,3.399
Barcelona,2.01,1.76,1.72,1.894,1.965,2.237,2.968,3.423,3.325
Nanjing,1.49,2.3,2.67,2.76,2.94,3.084,3.17,3.23,3.31
Ambarli,2.69,3.1,3.38,3.488,3.221,2.803,3.132,3.194,3.105
Yantai,1.71,1.85,2.15,2.356,2.452,2.6,2.702,3.002,3.102
Incheon,2.33,1.98,2.16,2.335,2.377,2.68,3.05,3.106,3.092
Chittangong,1.39,1.41,1.54,1.622,2.024,2.347,2.567,2.904,3.088
Manzanillo,1.76,1.99,2.12,2.369,2.458,2.581,2.83,3.079,3.069
Cartagena,1.85,2.2,2.01,2.386,2.61,2.51,2.663,2.877,2.995
Yokohama,3.08,3.05,2.89,2.888,2.787,2.781,2.927,3.036,2.99
Houston,1.89,1.92,1.95,1.951,2.131,2.174,2.459,2.7,2.987
Melbourne,2.51,2.55,2.49,2.533,2.611,2.64,2.806,3.019,2.967
Tangshan,,,,1.109,1.52,1.932,2.53,2.958,2.944
Virginia,,2.11,2.22,2.393,2.549,2.656,2.841,2.856,2.938
Balboa,2.32,3.25,3.06,3.236,3.078,2.832,2.905,2.521,2.895
Kobe,2.47,2.57,2.55,2.617,2.707,2.801,2.924,2.944,2.872
