lat,lon,name,size,type,military,clicked
31.22847,121.49627,Shanghai,43.303,River,No,FALSE
1.30155,103.74224,Singapore,37.196,Sea,No,FALSE
29.87347,121.55539,Ningbo,27.53,Sea,No,FALSE
22.5411,114.0883,Shenzhen,25.77,Sea,No,FALSE
23.11757,113.26582,Guangzhou,23.236,Sea,No,FALSE
35.1035,129.0424,Busan,21.992,Sea,No,FALSE
36.05714,120.32468,Qingdao,21.01,Sea,No,FALSE
22.30198,114.16482,Hong Kong,18.361,Sea,No,FALSE
39.08764,117.23743,Tianjin,17.264,Sea,No,FALSE
51.88811,4.45693,Rotterdam,14.811,Sea,No,FALSE
25.0236,55.0403,Dubai,14.111,Sea,No,FALSE
2.9999,101.3928,Klang,13.581,River,No,FALSE
51.2408,4.4078,Antwerp,11.86,Sea,No,FALSE
24.46042,118.06714,Xiamen,11.122,Sea,No,FALSE
22.60863,120.28511,Kaohsiung,10.429,Sea,No,FALSE
33.7292,-118.262,Los Angeles,9.338,Sea,No,FALSE
53.551086,9.993682,Hamburg,9.274,Sea,No,FALSE
1.3622,103.5532,Tanjung Pelepas,9.1,Sea,No,FALSE
38.9269,121.6541,Dalian,8.76,Sea,No,FALSE
13.1041,100.9158,Laem Chabang,8.107,Sea,No,FALSE
33.7542,-118.2165,Long Beach,7.632,Sea,Yes,FALSE
6.0919,106.8817,Tanjung Priok,7.6,Sea,No,FALSE
40.684,-74.0062,New York,7.471,River,No,FALSE
6.9404,79.8464,Colombo,7.228,Sea,No,FALSE
10.7718,106.7068,Ho Chi Minh City,7.22,River,No,FALSE
37.9406,23.6333,Piraeus,5.648,Sea,No,FALSE
40.2808,122.1244,Yingkou,5.48,Sea,No,FALSE
39.4481,-0.3169,Valencia,5.44,Sea,No,FALSE
14.5833,120.95,Manila,5.316,Sea,No,FALSE
31.6206,121.152,Taicang,5.152,River,No,FALSE
20.8645,106.685,Hai Phong,5.133,River,No,FALSE
36.168056,-5.348611,Algeciras,5.125,Sea,No,FALSE
18.9499,72.9512,Jawaharlal Nehru,5.101,Sea,No,FALSE
53.5396,8.5809,Bremerhaven,4.857,Sea,No,FALSE
35.8704,-5.5199,Tanger Med,4.802,Sea,No,FALSE
34.7365,119.4429,Lianyungang,4.78,Sea,No,FALSE
22.7451,69.7008,Mundra,4.733,Sea,No,FALSE
32.0809,-81.0912,Savannah,4.599,River,Yes,FALSE
35.6168,139.7958,Tokyo,4.51,Sea,No,FALSE
35.3854,119.5585,Rizhao,4.5,Sea,No,FALSE
21.4669,39.1744,Jeddah,4.434,Sea,No,FALSE
9.3593,-79.8999,Colon,4.379,Sea,No,FALSE
-23.966,-46.3019,Santos,4.165,River,No,FALSE
16.9415,53.9954,Salalah,4.109,Sea,No,FALSE
-7.2219,112.7321,Tanjung Perak,3.9,Sea,No,FALSE
31.2653,32.3019,Port Said,3.816,Sea,No,FALSE
47.2655,-122.4123,Seaport Alliance,3.775,Sea,Yes,FALSE
10.585,107.1552,Cai Mep,3.742,River,No,FALSE
22.9104,113.612,Dongguan,3.68,River,No,FALSE
51.9492,1.323,Felixstowe,3.584,Sea,No,FALSE
25.4274,119.297,Fuzhou,3.54,Sea,No,FALSE
49.2889,-123.1115,Vancouver,3.399,Sea,No,FALSE
41.3772,2.1888,Barcelona,3.325,Sea,No,FALSE
32.0506,118.786,Nanjing,3.31,River,No,FALSE
40.9691,28.6759,Ambarli,3.105,Sea,No,FALSE
37.5446,121.389,Yantai,3.102,Sea,No,FALSE
37.4595,126.6256,Incheon,3.092,Sea,No,FALSE
22.3091,91.8018,Chittangong,3.088,Sea,No,FALSE
19.0585,-104.2817,Manzanillo,3.069,Sea,No,FALSE
10.3932,-75.4832,Cartagena,2.995,Sea,No,FALSE
35.4498,139.6649,Yokohama,2.99,Sea,No,FALSE
29.73,-95.2724,Houston,2.987,Sea,No,FALSE
-37.8369,144.9284,Melbourne,2.967,Sea,No,FALSE
39.2327,118.988,Tangshan,2.944,Sea,No,FALSE
36.9186,-76.3001,Virginia,2.938,Sea,No,FALSE
8.9575,-79.5614,Balboa,2.895,Sea,No,FALSE
34.6775,135.2269,Kobe,2.872,Sea,No,FALSE
35.0918,136.8801,Nagoya,2.844,Sea,No,FALSE
49.4719,0.1475,Le Harve,2.823,Sea,No,FALSE
51.5283,-0.0824,London,2.79,Sea,No,FALSE
24.5146,54.3825,Abu Dhabi,2.78,Sea,No,FALSE
-29.8587,31.0218,Durban,2.77,Sea,No,FALSE
35.841,14.5451,Marsaxlokk,2.723,Sea,No,FALSE
44.4087,8.9236,Genoa,2.621,Sea,No,FALSE
24.8867,118.6836,Quanzhou,2.58,Sea,No,FALSE
-33.8462,151.2489,Sydney,2.573,Sea,No,FALSE
22.2397,113.5936,Zhuhai,2.556,Sea,No,FALSE
38.4568,15.9083,Gioia Tauro,2.523,Sea,No,FALSE
37.7957,-122.2792,Oakland,2.5,Sea,Yes,FALSE
34.6937,135.5023,Osaka,2.456,Sea,No,FALSE
32.7815,-79.9238,Charleston,2.436,Sea,Yes,FALSE
34.8998,127.7618,Yeosu Gwangyang,2.378,Sea,No,FALSE
-12.0566,-77.1181,Callao,2.314,Sea,No,FALSE
59.9343,30.3351,St Petersburg,2.221,Sea,No,FALSE
24.8359,66.9832,Karachi,2.098,Sea,No,FALSE
54.4063,18.6612,Gdansk,2.073,Sea,No,FALSE
22.5265,39.0917,King Abdullah,2.021,Sea,No,FALSE
20.0257,110.281,Haikou,1.97,Sea,No,FALSE
50.9097,-1.4357,Southampton,1.925,Sea,No,FALSE
40.9596,121.1761,Jinzhou,1.879,Sea,No,FALSE
30.5983,121.0855,Jiaxing,1.865,Sea,No,FALSE
36.7975,34.6458,Mersin,1.854,Sea,No,FALSE
26.4592,50.1875,Dammam,1.823,Sea,No,FALSE
24.3044,120.6023,Taichung,1.794,Sea,No,FALSE
45.5077,-73.5509,Montreal,1.745,River,No,FALSE
40.7566,29.9139,Izmit,1.715,Sea,No,FALSE
29.3862,-98.5715,San Antonio,1.71,Sea,No,FALSE
-2.278,-79.9082,Guayaquil,1.681,River,No,FALSE
17.9822,-76.8383,Kingston,1.648,Sea,No,FALSE
25.1569,121.3513,Taipei,1.62,Sea,No,FALSE
